n,name_c,Worldwide_TOP_10,Worldwide_TOP_11_50,Worldwide_TOP_51_100,Streams_Worldwide,Streams_LATAM,LATAM_TOP_10,LATAM_TOP_11_50,LATAM_TOP_51_100,Streams_EUROPE,EUROPE_TOP_10,EUROPE_TOP_11_50,EUROPE_TOP_51_100,Streams_ASIA,ASIA_TOP_10,ASIA_TOP_11_50,ASIA_TOP_51_100,Streams_OCEANIA,OCEANIA_TOP_10,OCEANIA_TOP_11_50,OCEANIA_TOP_51_100,Streams_NORTH_AMERICA,NORTH_AMERICA_TOP_10,NORTH AMERICA_TOP_11_50,NORTH AMERICA_TOP_51_100,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_seg
1,1-800-273-8255,0,1,0,456659746,18925925,0,0,1,139064584,0,1,0,24836305,0,1,0,31610259,0,1,0,242222673,0,1,0,5tz69p7tJuGPeMGwNTxYu,Logic,0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,4,250.173
2,24K Magic,0,0,1,258151125,71400933,0,1,0,61922899,0,0,1,31072385,0,1,0,10721244,0,0,1,83033664,0,0,1,6b8Be6ljOzmkOmFslEb23,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4,225.983
3,2U,0,1,0,383159809,63246676,0,1,0,184847746,0,1,0,39310740,0,1,0,20738834,0,0,1,75015813,0,0,1,3A7qX2QjDlPnazUsRk5y0,David Guetta,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,4,194.897
4,Ahora Dice,0,0,1,211459876,170857777,1,0,0,36756817,0,0,1,61180,0,0,1,0,0,0,0,3784102,0,0,1,22eADXu8DfOAUEDw4vU8q,Chris Jeday,0.708,0.693,6,-5.516,1,0.138,0.246,0,0.129,0.427,143.965,4,271.08
5,All Night,0,0,1,186399226,7652741,0,0,1,94812112,0,0,1,30079167,0,1,0,16043596,0,0,1,37811610,0,0,1,4b4KcovePX8Ke2cLIQTLM,The Vamps,0.544,0.809,8,-5.098,1,0.0363,0.0038,0,0.323,0.448,145.017,4,197.64
6,Attention,0,1,0,557543568,87673493,0,1,0,230080014,0,1,0,63791918,1,0,0,28579217,0,1,0,147418926,0,1,0,4iLqG9SeJSnt0cSPICSjx,Charlie Puth,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4,211.475
7,Bad and Boujee,0,0,1,312019166,2689626,0,0,1,59825416,0,0,1,5159345,0,0,1,12932100,0,0,1,231412679,0,1,0,4Km5HrUvYTaSUfiSGPJeQ,Migos,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,4,343.15
8,Bad Things,0,0,1,167488595,9403019,0,0,1,46205115,0,0,1,29950380,0,1,0,8459440,0,0,1,73470641,0,0,1,1PSBzsahR2AKwLJgx8ehB,Machine Gun Kelly,0.675,0.69,2,-4.761,1,0.132,0.21,0,0.287,0.272,137.817,4,239.293
9,Bank Account,0,0,1,278811902,1405219,0,0,1,60272599,0,0,1,7703068,0,0,1,11659545,0,0,1,197771471,0,1,0,2fQrGHiQOvpL9UgPvtYy6,21 Savage,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,4,220.307
10,Believer,0,1,0,509245642,78463501,0,1,0,205530219,0,1,0,20830074,0,0,1,20109385,0,0,1,184312463,0,1,0,0CcQNd8CINkwQfe1RDtGV,Imagine Dragons,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,4,204.347
11,Body Like A Back Road,0,0,1,216754234,0,0,0,0,2758116,0,0,1,1842656,0,0,1,20409608,0,0,1,191743854,0,1,0,7mldq42yDuxiUNn08nvzH,Sam Hunt,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,4,165.387
12,Bounce Back,0,0,1,241617463,115205,0,0,1,23486861,0,0,1,1803222,0,0,1,13272310,0,0,1,202939865,0,1,0,0SGkqnVQo9KPytSri1H6c,Big Sean,0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,4,222.36
13,Call On Me,0,1,0,339347253,19239338,0,0,1,182933112,0,1,0,32388551,0,1,0,27867001,0,1,0,76919251,0,0,1,78rIJddV4X0HkNAInEcYd,Starley,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,4,222.041
14,Castle on the Hill,0,1,0,452894313,32967484,0,0,1,250384415,1,0,0,33284182,0,1,0,33964972,1,0,0,102293260,0,0,1,6PCUP3dWmTjcTtXY02oFd,Ed Sheeran,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,261.154
15,Chained To The Rhythm,0,0,1,231552497,49442247,0,1,0,115503205,0,0,1,11283117,0,0,1,9265400,0,0,1,46058528,0,0,1,6520aj0B4FSKGVuKNsOCO,Katy Perry,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,4,237.734
16,Chantaje,0,0,1,303279426,163906031,1,0,0,106492560,0,0,1,2886744,0,0,1,1039419,0,0,1,28954672,0,0,1,6mICuAdrwEjh6Y6lroV2K,Shakira,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,4,195.84
17,Closer,0,1,0,447996529,94674133,0,1,0,119112776,0,0,1,56410777,0,1,0,23435231,0,1,0,154363612,0,1,0,7BKLCZ1jbUBVqRi2FVlTV,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4,244.96
18,Cold,0,0,1,3700988,3618415,0,0,1,71525,0,0,1,11048,0,0,1,0,0,0,0,0,0,0,0,21TdkDRXuAB3k90ujRU1e,Maroon 5,0.697,0.716,9,-6.288,0,0.113,0.118,0,0.0424,0.506,99.905,4,234.308
19,Cold Water,0,0,1,178924283,50471073,0,1,0,58012512,0,0,1,23989782,0,0,1,14701150,0,0,1,31749766,0,0,1,6DNtNfH8hXkqOX1sjqmI7,Major Lazer,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,4,185.352
20,Congratulations,0,1,0,533959120,33920112,0,0,1,130962167,0,1,0,22876339,0,0,1,33424487,1,0,0,312776015,1,0,0,3a1lNhkSLSkpJE4MSHpDu,Post Malone,0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,4,220.293
21,Despacito,1,0,0,717960928,294734828,1,0,0,287795986,1,0,0,20686625,0,0,1,7186966,0,0,1,107556523,0,1,0,4aWmUDTfIPGksMNLV2rQP,Luis Fonsi,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,4,228.2
22,Despacito (Remix),1,0,0,910422437,147849519,0,1,0,370799249,1,0,0,77294601,1,0,0,40363381,1,0,0,274115687,1,0,0,5CtI0qwDJkDQGwXD1H1cL,Luis Fonsi,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,4,228.827
23,DNA.,0,0,1,277291501,3094828,0,0,1,45693609,0,0,1,5705565,0,0,1,14594896,0,0,1,208202603,0,1,0,6HZILIRieu8S0iqY8kIKh,Kendrick Lamar,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.402,139.931,4,185.947
24,Don't Let Me Down,0,0,1,181493976,40442996,0,0,1,56468384,0,0,1,16188343,0,0,1,8584998,0,0,1,59809255,0,0,1,0QsvXIfqM0zZoerQfsI9l,The Chainsmokers,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,4,208.053
25,Don't Wanna Know,0,0,1,2253749,1577870,0,0,1,84942,0,0,1,590937,0,0,1,0,0,0,0,0,0,0,0,2QbFClFyhMMtiurUjuQlA,Maroon 5,0.775,0.617,7,-6.166,1,0.0701,0.341,0,0.0985,0.485,100.048,4,214.265
